termID,termName,termDesc,unitName,dataType,measurementScale,relatedTerms,dateSubmitted,dateAccepted,submittedBy
1496,spectrometerSignalAt276.31nm,"spectrometer intensity at wavelength 276.31 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1497,spectrometerSignalAt277.12nm,"spectrometer intensity at wavelength 277.12 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1498,spectrometerSignalAt277.93nm,"spectrometer intensity at wavelength 277.93 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1499,spectrometerSignalAt278.75nm,"spectrometer intensity at wavelength 278.75 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1500,spectrometerSignalAt279.56nm,"spectrometer intensity at wavelength 279.56 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1501,spectrometerSignalAt280.38nm,"spectrometer intensity at wavelength 280.38 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1502,spectrometerSignalAt281.19nm,"spectrometer intensity at wavelength 281.19 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1503,spectrometerSignalAt282.01nm,"spectrometer intensity at wavelength 282.01 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1504,spectrometerSignalAt282.82nm,"spectrometer intensity at wavelength 282.82 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1505,spectrometerSignalAt283.64nm,"spectrometer intensity at wavelength 283.64 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1506,spectrometerSignalAt284.45nm,"spectrometer intensity at wavelength 284.45 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1507,spectrometerSignalAt285.27nm,"spectrometer intensity at wavelength 285.27 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1508,spectrometerSignalAt286.08nm,"spectrometer intensity at wavelength 286.08 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1509,spectrometerSignalAt286.9nm,"spectrometer intensity at wavelength 286.9 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1510,spectrometerSignalAt287.71nm,"spectrometer intensity at wavelength 287.71 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1511,spectrometerSignalAt288.53nm,"spectrometer intensity at wavelength 288.53 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1512,spectrometerSignalAt289.35nm,"spectrometer intensity at wavelength 289.35 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1513,spectrometerSignalAt290.16nm,"spectrometer intensity at wavelength 290.16 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1514,spectrometerSignalAt290.98nm,"spectrometer intensity at wavelength 290.98 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1515,spectrometerSignalAt291.79nm,"spectrometer intensity at wavelength 291.79 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1516,spectrometerSignalAt292.61nm,"spectrometer intensity at wavelength 292.61 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1517,spectrometerSignalAt293.42nm,"spectrometer intensity at wavelength 293.42 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1518,spectrometerSignalAt294.24nm,"spectrometer intensity at wavelength 294.24 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1519,spectrometerSignalAt295.06nm,"spectrometer intensity at wavelength 295.06 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1520,spectrometerSignalAt295.87nm,"spectrometer intensity at wavelength 295.87 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1521,spectrometerSignalAt296.69nm,"spectrometer intensity at wavelength 296.69 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1522,spectrometerSignalAt297.51nm,"spectrometer intensity at wavelength 297.51 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1523,spectrometerSignalAt298.32nm,"spectrometer intensity at wavelength 298.32 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1524,spectrometerSignalAt299.14nm,"spectrometer intensity at wavelength 299.14 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1525,spectrometerSignalAt299.95nm,"spectrometer intensity at wavelength 299.95 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1526,spectrometerSignalAt300.77nm,"spectrometer intensity at wavelength 300.77 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1527,spectrometerSignalAt301.59nm,"spectrometer intensity at wavelength 301.59 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1528,spectrometerSignalAt302.4nm,"spectrometer intensity at wavelength 302.4 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1529,spectrometerSignalAt303.22nm,"spectrometer intensity at wavelength 303.22 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1530,spectrometerSignalAt304.04nm,"spectrometer intensity at wavelength 304.04 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1531,spectrometerSignalAt304.85nm,"spectrometer intensity at wavelength 304.85 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1532,spectrometerSignalAt305.67nm,"spectrometer intensity at wavelength 305.67 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1533,spectrometerSignalAt306.49nm,"spectrometer intensity at wavelength 306.49 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1534,spectrometerSignalAt307.3nm,"spectrometer intensity at wavelength 307.3 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1535,spectrometerSignalAt308.12nm,"spectrometer intensity at wavelength 308.12 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1536,spectrometerSignalAt308.93nm,"spectrometer intensity at wavelength 308.93 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1537,spectrometerSignalAt309.75nm,"spectrometer intensity at wavelength 309.75 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1538,spectrometerSignalAt310.57nm,"spectrometer intensity at wavelength 310.57 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1539,spectrometerSignalAt311.38nm,"spectrometer intensity at wavelength 311.38 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1540,spectrometerSignalAt312.2nm,"spectrometer intensity at wavelength 312.2 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1541,spectrometerSignalAt313.02nm,"spectrometer intensity at wavelength 313.02 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1542,spectrometerSignalAt313.83nm,"spectrometer intensity at wavelength 313.83 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1543,spectrometerSignalAt314.65nm,"spectrometer intensity at wavelength 314.65 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1544,spectrometerSignalAt315.47nm,"spectrometer intensity at wavelength 315.47 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1545,spectrometerSignalAt316.28nm,"spectrometer intensity at wavelength 316.28 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1546,spectrometerSignalAt317.1nm,"spectrometer intensity at wavelength 317.1 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1547,spectrometerSignalAt317.92nm,"spectrometer intensity at wavelength 317.92 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1548,spectrometerSignalAt318.73nm,"spectrometer intensity at wavelength 318.73 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1549,spectrometerSignalAt319.55nm,"spectrometer intensity at wavelength 319.55 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1550,spectrometerSignalAt320.37nm,"spectrometer intensity at wavelength 320.37 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1551,spectrometerSignalAt321.18nm,"spectrometer intensity at wavelength 321.18 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1552,spectrometerSignalAt322nm,"spectrometer intensity at wavelength 322 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1553,spectrometerSignalAt322.82nm,"spectrometer intensity at wavelength 322.82 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1554,spectrometerSignalAt323.63nm,"spectrometer intensity at wavelength 323.63 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1555,spectrometerSignalAt324.45nm,"spectrometer intensity at wavelength 324.45 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1556,spectrometerSignalAt325.27nm,"spectrometer intensity at wavelength 325.27 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1557,spectrometerSignalAt326.08nm,"spectrometer intensity at wavelength 326.08 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1558,spectrometerSignalAt326.9nm,"spectrometer intensity at wavelength 326.9 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1559,spectrometerSignalAt327.72nm,"spectrometer intensity at wavelength 327.72 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1560,spectrometerSignalAt328.53nm,"spectrometer intensity at wavelength 328.53 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1561,spectrometerSignalAt329.35nm,"spectrometer intensity at wavelength 329.35 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1562,spectrometerSignalAt330.17nm,"spectrometer intensity at wavelength 330.17 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1563,spectrometerSignalAt330.98nm,"spectrometer intensity at wavelength 330.98 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1564,spectrometerSignalAt331.8nm,"spectrometer intensity at wavelength 331.8 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1565,spectrometerSignalAt332.62nm,"spectrometer intensity at wavelength 332.62 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1566,spectrometerSignalAt333.43nm,"spectrometer intensity at wavelength 333.43 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1567,spectrometerSignalAt334.25nm,"spectrometer intensity at wavelength 334.25 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1568,spectrometerSignalAt335.06nm,"spectrometer intensity at wavelength 335.06 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1569,spectrometerSignalAt335.88nm,"spectrometer intensity at wavelength 335.88 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1570,spectrometerSignalAt336.7nm,"spectrometer intensity at wavelength 336.7 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1571,spectrometerSignalAt337.51nm,"spectrometer intensity at wavelength 337.51 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1572,spectrometerSignalAt338.33nm,"spectrometer intensity at wavelength 338.33 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1573,spectrometerSignalAt339.14nm,"spectrometer intensity at wavelength 339.14 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1574,spectrometerSignalAt339.96nm,"spectrometer intensity at wavelength 339.96 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1575,spectrometerSignalAt340.78nm,"spectrometer intensity at wavelength 340.78 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1576,spectrometerSignalAt341.59nm,"spectrometer intensity at wavelength 341.59 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1577,spectrometerSignalAt342.41nm,"spectrometer intensity at wavelength 342.41 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1578,spectrometerSignalAt343.22nm,"spectrometer intensity at wavelength 343.22 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1579,spectrometerSignalAt344.04nm,"spectrometer intensity at wavelength 344.04 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1580,spectrometerSignalAt344.85nm,"spectrometer intensity at wavelength 344.85 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1581,spectrometerSignalAt345.67nm,"spectrometer intensity at wavelength 345.67 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1582,spectrometerSignalAt346.48nm,"spectrometer intensity at wavelength 346.48 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1583,spectrometerSignalAt347.3nm,"spectrometer intensity at wavelength 347.3 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1584,spectrometerSignalAt348.12nm,"spectrometer intensity at wavelength 348.12 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1585,spectrometerSignalAt348.93nm,"spectrometer intensity at wavelength 348.93 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1586,spectrometerSignalAt349.75nm,"spectrometer intensity at wavelength 349.75 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1587,spectrometerSignalAt350.56nm,"spectrometer intensity at wavelength 350.56 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1588,spectrometerSignalAt351.38nm,"spectrometer intensity at wavelength 351.38 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1589,spectrometerSignalAt352.19nm,"spectrometer intensity at wavelength 352.19 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1590,spectrometerSignalAt353.01nm,"spectrometer intensity at wavelength 353.01 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1591,spectrometerSignalAt353.82nm,"spectrometer intensity at wavelength 353.82 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1592,spectrometerSignalAt354.63nm,"spectrometer intensity at wavelength 354.63 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1593,spectrometerSignalAt355.45nm,"spectrometer intensity at wavelength 355.45 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1594,spectrometerSignalAt356.26nm,"spectrometer intensity at wavelength 356.26 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1595,spectrometerSignalAt357.08nm,"spectrometer intensity at wavelength 357.08 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1596,spectrometerSignalAt357.89nm,"spectrometer intensity at wavelength 357.89 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1597,spectrometerSignalAt358.71nm,"spectrometer intensity at wavelength 358.71 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1598,spectrometerSignalAt359.52nm,"spectrometer intensity at wavelength 359.52 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1599,spectrometerSignalAt360.33nm,"spectrometer intensity at wavelength 360.33 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1600,spectrometerSignalAt361.15nm,"spectrometer intensity at wavelength 361.15 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1601,spectrometerSignalAt361.96nm,"spectrometer intensity at wavelength 361.96 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1602,spectrometerSignalAt362.78nm,"spectrometer intensity at wavelength 362.78 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1603,spectrometerSignalAt363.59nm,"spectrometer intensity at wavelength 363.59 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1604,spectrometerSignalAt364.4nm,"spectrometer intensity at wavelength 364.4 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1605,spectrometerSignalAt365.22nm,"spectrometer intensity at wavelength 365.22 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1606,spectrometerSignalAt366.03nm,"spectrometer intensity at wavelength 366.03 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1607,spectrometerSignalAt366.84nm,"spectrometer intensity at wavelength 366.84 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1608,spectrometerSignalAt367.65nm,"spectrometer intensity at wavelength 367.65 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1609,spectrometerSignalAt368.47nm,"spectrometer intensity at wavelength 368.47 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1610,spectrometerSignalAt369.28nm,"spectrometer intensity at wavelength 369.28 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1611,spectrometerSignalAt370.09nm,"spectrometer intensity at wavelength 370.09 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1612,spectrometerSignalAt370.91nm,"spectrometer intensity at wavelength 370.91 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1613,spectrometerSignalAt371.72nm,"spectrometer intensity at wavelength 371.72 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1614,spectrometerSignalAt372.53nm,"spectrometer intensity at wavelength 372.53 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1615,spectrometerSignalAt373.34nm,"spectrometer intensity at wavelength 373.34 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1616,spectrometerSignalAt374.15nm,"spectrometer intensity at wavelength 374.15 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1617,spectrometerSignalAt374.97nm,"spectrometer intensity at wavelength 374.97 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1618,spectrometerSignalAt375.78nm,"spectrometer intensity at wavelength 375.78 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1619,spectrometerSignalAt376.59nm,"spectrometer intensity at wavelength 376.59 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1620,spectrometerSignalAt377.4nm,"spectrometer intensity at wavelength 377.4 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1621,spectrometerSignalAt378.21nm,"spectrometer intensity at wavelength 378.21 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1622,spectrometerSignalAt379.02nm,"spectrometer intensity at wavelength 379.02 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1623,spectrometerSignalAt379.83nm,"spectrometer intensity at wavelength 379.83 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1624,spectrometerSignalAt380.64nm,"spectrometer intensity at wavelength 380.64 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1625,spectrometerSignalAt381.45nm,"spectrometer intensity at wavelength 381.45 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1626,spectrometerSignalAt382.27nm,"spectrometer intensity at wavelength 382.27 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1627,spectrometerSignalAt383.08nm,"spectrometer intensity at wavelength 383.08 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1628,spectrometerSignalAt383.89nm,"spectrometer intensity at wavelength 383.89 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1629,spectrometerSignalAt384.7nm,"spectrometer intensity at wavelength 384.7 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1630,spectrometerSignalAt385.51nm,"spectrometer intensity at wavelength 385.51 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1631,spectrometerSignalAt386.32nm,"spectrometer intensity at wavelength 386.32 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1632,spectrometerSignalAt387.13nm,"spectrometer intensity at wavelength 387.13 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1633,spectrometerSignalAt387.93nm,"spectrometer intensity at wavelength 387.93 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1634,spectrometerSignalAt388.74nm,"spectrometer intensity at wavelength 388.74 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1635,spectrometerSignalAt389.55nm,"spectrometer intensity at wavelength 389.55 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1636,spectrometerSignalAt390.36nm,"spectrometer intensity at wavelength 390.36 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1637,spectrometerSignalAt391.17nm,"spectrometer intensity at wavelength 391.17 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1638,spectrometerSignalAt391.98nm,"spectrometer intensity at wavelength 391.98 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1639,spectrometerSignalAt392.79nm,"spectrometer intensity at wavelength 392.79 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1640,spectrometerSignalAt393.6nm,"spectrometer intensity at wavelength 393.6 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1641,spectrometerSignalAt394.4nm,"spectrometer intensity at wavelength 394.4 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1642,spectrometerSignalAt395.21nm,"spectrometer intensity at wavelength 395.21 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1643,spectrometerSignalAt396.02nm,"spectrometer intensity at wavelength 396.02 nm",NA,real,NULL,NULL,NULL,NULL,NULL
1644,spectrometerTemp,"Spectrometer temperature",celsius,real,NULL,NULL,NULL,NULL,NULL
1645,lampTemp,"Lamp temperature",celsius,real,NULL,NULL,NULL,NULL,NULL
1646,lampUseTime,"Cumulative lamp time",second,real,NULL,NULL,NULL,NULL,NULL
1647,sensorVoltage,"Main voltage",volt,real,NULL,NULL,NULL,NULL,NULL
1648,lampVoltage,"Lamp voltage",volt,real,NULL,NULL,NULL,NULL,NULL
1649,spectrometerVoltage,"Internal voltage",volt,real,NULL,NULL,NULL,NULL,NULL
1650,sensorCurrent,"Main current",milliampere,real,NULL,NULL,NULL,NULL,NULL
1651,fitParameter1,"Fit aux 1",NA,real,NULL,NULL,NULL,NULL,NULL
1652,fitParameter2,"Fit aux 2",NA,real,NULL,NULL,NULL,NULL,NULL
1653,fitParameter3,"Fit base 1",NA,real,NULL,NULL,NULL,NULL,NULL
1654,fitParameter4,"Fit base 2",NA,real,NULL,NULL,NULL,NULL,NULL
1655,fitError,"Fit RMSE",NA,real,NULL,NULL,NULL,NULL,NULL
1656,checkSum,"Check sum of data stream",NA,real,NULL,NULL,NULL,NULL,NULL
1657,pH,"Measurement of pH in sample",pH,real,NULL,NULL,NULL,NULL,NULL
1658,pHvoltage,"pH meter voltage",millivolt,real,NULL,NULL,NULL,NULL,NULL
1659,blueGreenAlgaePhycocyanin,"Blue-green algae phycocyanin concentration in water",microgramsPerLiter,real,NULL,NULL,NULL,NULL,NULL
1660,chlorophyll,"Chlorophyll a concentration in water",microgramsPerLiter,real,NULL,NULL,NULL,NULL,NULL
1661,fDOM,"Fluorescent dissolved organic matter concentration as quinine sulfate equivalents",quinineSulfateUnit,real,NULL,NULL,NULL,NULL,NULL
1662,turbidity,"Turbidity of water as FNU",formazinNephelometricUnit,real,NULL,NULL,NULL,NULL,NULL
1663,sondeSurfaceWaterPressure,"Pressure of surface water measured by the multisonde in psi",poundsPerSquareInch,real,NULL,NULL,NULL,NULL,NULL
1664,sensorDepth,"Water depth of measurement",meter,real,NULL,NULL,NULL,NULL,NULL
1665,sondeFaultCode,"Sensor error code",NA,real,NULL,NULL,NULL,NULL,NULL
1666,chlorophyllRaw,"Raw signal of chlorophyll a sensor",percent,real,ratio,NULL,NULL,NULL,NULL
1667,blueGreenAlgaeRaw,"Raw signal of blue-green algae sensor",percent,real,ratio,NULL,NULL,NULL,NULL
1668,fDOMRaw,"Raw signal of fluorescent dissolved organic matter sensor as a percent of full scale detected in the sample",percent,real,ratio,NULL,NULL,NULL,NULL
1669,turbidityRaw,"Raw signal of turbidity sensor",percent,real,ratio,NULL,NULL,NULL,NULL
1670,wiperPosition,"Position of wiper",volt,real,NULL,NULL,NULL,NULL,NULL
1671,dscUnitsFail,"A flag that indicates that discharge volume units from field device were not recognized",NA,real,NULL,NULL,NULL,NULL,NULL
1672,dscWaterEdgeWarn,"A flag that indicates that discharge measurements were initiated on the 'left edge' of the stream transect, rather than the standard 'right edge'",NA,real,NULL,NULL,NULL,NULL,NULL
1673,dscStationEntryWarn,"A flag that indicates that discharge measurements were not taken from 'non-fixed' stations",NA,real,NULL,NULL,NULL,NULL,NULL
1674,dscFilterParamWarn,"A flag that indicates that discharge measurements were taken with a filter parameter time less than 10 seconds",NA,real,NULL,NULL,NULL,NULL,NULL
1675,startDateTime,"Date and time at which a sampling is initiated",NA,dateTime,NULL,NULL,NULL,NULL,NULL
1676,endDateTime,"Date and time at which a sampling is completed",NA,dateTime,NULL,NULL,NULL,NULL,NULL
1677,wellWaterDepth,"Depth of water in well from top of well casing",meter,real,NULL,NULL,NULL,NULL,NULL
1678,sampleDepth,"Depth sample was collected",meter,real,NULL,NULL,NULL,NULL,NULL
1679,sampleExtractionMethod,"Method used to extract the sample",NA,string,NULL,NULL,NULL,NULL,NULL
1680,wellDischargeRate,"Rate at which  water is removed from well during sampling",millilitersPerMinute,real,NULL,NULL,NULL,NULL,NULL
1681,wellVolumePurged,"Total volume removed from the well, prior to sampling",liter,real,NULL,NULL,NULL,NULL,NULL
1682,wellSampleDepth,"Depth at which groundwater sample was collected. Depth measured from top of well casing",meter,real,NULL,NULL,NULL,NULL,NULL
1683,time,"The time or interval during which an event occurred",NA,dateTime,NULL,NULL,NULL,NULL,NULL
1684,groundwaterTempExpUncert,"Expanded uncertainty for temperature of groundwater in degrees celsius",celsius,real,NULL,NULL,NULL,NULL,NULL
1685,groundwaterTempRangeQF,"Temperature of groundwater quality flag for the range test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1686,groundwaterTempPersistenceQF,"Temperature of groundwater quality flag for the persistence test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1687,groundwaterTempStepQF,"Temperature of groundwater quality flag for the step test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1688,groundwaterTempNullQF,"Temperature of groundwater quality flag for the null test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1689,groundwaterTempGapQF,"Temperature of groundwater quality flag for the gap test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1690,groundwaterTempConsistencyQF,"Temperature of groundwater quality flag for the consistency test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1691,groundwaterTempSpikeQF,"Temperature of groundwater quality flag for the spike test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1692,groundwaterTempMean,"Arithmetic mean of temperature of groundwater in degrees celsius",celsius,real,NULL,NULL,NULL,NULL,NULL
1693,groundwaterTempMinimum,"Minimum temperature of groundwater in degrees celsius",celsius,real,NULL,NULL,NULL,NULL,NULL
1694,groundwaterTempMaximum,"Maximum temperature of groundwater in degrees celsius",celsius,real,NULL,NULL,NULL,NULL,NULL
1695,groundwaterTempVariance,"Variance in temperature of groundwater in degrees celsius",celsiusSquared,real,NULL,NULL,NULL,NULL,NULL
1696,groundwaterTempNumPts,"Number of points used to calculate the arithmetic mean of temperature of groundwater in degrees celsius",number,real,NULL,NULL,NULL,NULL,NULL
1697,groundwaterTempStdErMean,"Standard error of the mean for temperature of groundwater in degrees celsius",celsius,real,NULL,NULL,NULL,NULL,NULL
1698,groundwaterSpecCond,"Specific conductivity in groundwater in microsiemens per centimeter",microsiemensPerCentimeter,real,NULL,NULL,NULL,NULL,NULL
1699,groundwaterSpecCondExpUncert,"Expanded uncertainty for Specific Conductivity in groundwater in degrees celsius",microsiemensPerCentimeter,real,NULL,NULL,NULL,NULL,NULL
1700,groundwaterSpecCondRangeQF,"Specific Conductivity in groundwater quality flag for the range test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1701,groundwaterSpecCondPersistQF,"Specific Conductivity in groundwater quality flag for the persistence test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1702,groundwaterSpecCondStepQF,"Specific Conductivity in groundwater quality flag for the step test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1703,groundwaterSpecCondNullQF,"Specific Conductivity in groundwater quality flag for the null test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
1704,groundwaterSpecCondGapQF,"Specific Conductivity in groundwater quality flag for the gap test, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,"signed integer",nominal,NULL,NULL,NULL,NULL
